,OP134_C1_20230609-150121.spc
1043,13508.5166015625
1044,13522.953125
1045,13549.390625
1046,13559.2958984375
1047,13533.5888671875
1048,13478.716796875
1049,13425.9130859375
1050,13411.732421875
1051,13452.7607421875
1052,13533.5478515625
1053,13617.0341796875
1054,13668.6318359375
1055,13675.9453125
1056,13651.470703125
1057,13621.044921875
1058,13609.373046875
1059,13631.712890625
1060,13692.0126953125
1061,13783.3427734375
1062,13889.0615234375
1063,13986.7392578125
1064,14056.0361328125
1065,14087.080078125
1066,14083.3759765625
1067,14057.017578125
1068,14020.0224609375
1069,13978.67578125
1070,13934.216796875
1071,13887.30078125
1072,13840.771484375
1073,13798.0849609375
1074,13759.76953125
1075,13722.4912109375
1076,13682.302734375
1077,13638.92578125
1078,13596.52734375
1079,13560.08203125
1080,13531.38671875
1081,13509.1806640625
1082,13493.0556640625
1083,13485.6533203125
1084,13488.91796875
1085,13497.1611328125
1086,13495.466796875
1087,13468.337890625
1088,13413.255859375
1089,13346.1181640625
1090,13291.14453125
1091,13261.814453125
1092,13249.8720703125
1093,13233.630859375
1094,13199.361328125
1095,13156.5771484375
1096,13132.32421875
1097,13149.0595703125
1098,13205.296875
1099,13275.9765625
1100,13330.68359375
1101,13353.1748046875
1102,13347.0625
1103,13327.77734375
1104,13312.625
1105,13317.470703125
1106,13356.751953125
1107,13438.3623046875
1108,13553.5322265625
1109,13673.5517578125
1110,13764.013671875
1111,13810.7119140625
1112,13836.26953125
1113,13889.03515625
1114,14009.0419921875
1115,14196.2861328125
1116,14407.353515625
1117,14583.64453125
1118,14689.208984375
1119,14730.6787109375
1120,14747.189453125
1121,14782.1064453125
1122,14858.0810546875
1123,14970.0302734375
1124,15095.4140625
1125,15210.9013671875
1126,15305.01171875
1127,15381.625
1128,15454.8369140625
1129,15538.9931640625
1130,15639.65234375
1131,15751.4697265625
1132,15864.513671875
1133,15973.7451171875
1134,16082.6474609375
1135,16196.794921875
1136,16313.3046875
1137,16417.28515625
1138,16490.6015625
1139,16525.630859375
1140,16530.990234375
1141,16523.080078125
1142,16510.8046875
1143,16487.37890625
1144,16436.306640625
1145,16346.5009765625
1146,16224.3798828125
1147,16094.4208984375
1148,15987.919921875
1149,15926.4169921875
1150,15909.177734375
1151,15912.59375
1152,15903.888671875
1153,15861.8935546875
1154,15790.1875
1155,15712.1181640625
1156,15651.6865234375
1157,15617.5634765625
1158,15604.103515625
1159,15605.3330078125
1160,15624.548828125
1161,15667.9228515625
1162,15730.119140625
1163,15789.564453125
1164,15820.46484375
1165,15809.5439453125
1166,15761.138671875
1167,15688.5625
1168,15603.9609375
1169,15516.7158203125
1170,15436.22265625
1171,15369.5361328125
1172,15314.3056640625
1173,15258.119140625
1174,15189.4580078125
1175,15109.73046875
1176,15031.27734375
1177,14962.2802734375
1178,14896.697265625
1179,14822.580078125
1180,14739.4794921875
1181,14662.3427734375
1182,14605.0078125
1183,14562.201171875
1184,14513.8203125
1185,14449.7666015625
1186,14387.55078125
1187,14360.2646484375
1188,14384.421875
1189,14441.3193359375
1190,14492.3662109375
1191,14514.30859375
1192,14520.4658203125
1193,14548.9873046875
1194,14631.748046875
1195,14772.3681640625
1196,14949.0771484375
1197,15133.52734375
1198,15305.7939453125
1199,15455.66015625
1200,15575.771484375
1201,15658.2607421875
1202,15699.1689453125
1203,15704.671875
1204,15690.48046875
1205,15672.52734375
1206,15656.5595703125
1207,15636.203125
1208,15601.58203125
1209,15550.21484375
1210,15489.6025390625
1211,15430.1181640625
1212,15377.30859375
1213,15332.765625
1214,15300.9638671875
1215,15290.3544921875
1216,15303.09375
1217,15323.439453125
1218,15321.37109375
1219,15273.5947265625
1220,15183.91796875
1221,15081.9931640625
1222,14999.6484375
1223,14946.8330078125
1224,14908.119140625
1225,14858.4990234375
1226,14779.3603515625
1227,14661.6962890625
1228,14503.5009765625
1229,14313.94140625
1230,14121.2392578125
1231,13966.3564453125
1232,13875.9755859375
1233,13836.3798828125
1234,13799.4775390625
1235,13725.017578125
1236,13622.26171875
1237,13548.498046875
1238,13561.5546875
1239,13669.6103515625
1240,13826.23828125
1241,13973.4130859375
1242,14089.8310546875
1243,14201.6904296875
1244,14353.3583984375
1245,14572.0283203125
1246,14856.51171875
1247,15189.033203125
1248,15549.3310546875
1249,15918.681640625
1250,16279.236328125
1251,16615.748046875
1252,16915.458984375
1253,17159.80078125
1254,17315.970703125
1255,17346.033203125
1256,17235.82421875
1257,17018.91796875
1258,16765.662109375
1259,16538.12890625
1260,16348.61328125
1261,16159.4189453125
1262,15923.33984375
1263,15626.001953125
1264,15293.056640625
1265,14963.4677734375
1266,14660.8193359375
1267,14388.7177734375
1268,14146.0673828125
1269,13938.5771484375
1270,13773.3212890625
1271,13645.634765625
1272,13535.5498046875
1273,13418.5234375
1274,13279.1982421875
1275,13115.8427734375
1276,12934.8896484375
1277,12744.1767578125
1278,12551.005859375
1279,12362.533203125
1280,12183.7724609375
1281,12014.7890625
1282,11853.5166015625
1283,11705.0390625
1284,11587.052734375
1285,11520.2587890625
1286,11507.185546875
1287,11519.3115234375
1288,11509.869140625
1289,11445.5859375
1290,11329.6552734375
1291,11195.06640625
1292,11076.3212890625
1293,10988.119140625
1294,10928.71875
1295,10896.400390625
1296,10894.8154296875
1297,10920.3896484375
1298,10950.251953125
1299,10951.404296875
1300,10907.19140625
1301,10835.111328125
1302,10775.8916015625
1303,10761.3408203125
1304,10789.22265625
1305,10826.4892578125
1306,10835.869140625
1307,10801.7763671875
1308,10735.3505859375
1309,10659.0859375
1310,10589.0126953125
1311,10530.9423828125
1312,10490.0556640625
1313,10478.322265625
1314,10506.7392578125
1315,10567.548828125
1316,10626.66796875
1317,10640.720703125
1318,10589.8876953125
1319,10499.173828125
1320,10426.134765625
1321,10420.8564453125
1322,10489.3701171875
1323,10590.2841796875
1324,10666.8544921875
1325,10687.1923828125
1326,10660.0732421875
1327,10617.4765625
1328,10584.326171875
1329,10562.8349609375
1330,10540.2001953125
1331,10505.7392578125
1332,10459.5380859375
1333,10409.046875
1334,10362.767578125
1335,10327.9609375
1336,10310.154296875
1337,10310.65234375
1338,10324.611328125
1339,10344.52734375
1340,10367.1328125
1341,10395.875
1342,10435.91015625
1343,10487.8876953125
1344,10547.6884765625
1345,10610.451171875
1346,10671.7158203125
1347,10724.2216796875
1348,10757.056640625
1349,10762.0634765625
