,OP134_C1_20230609-150121.spc
1350,10742.490234375
1351,10714.0908203125
1352,10696.19921875
1353,10700.427734375
1354,10726.125
1355,10764.5693359375
1356,10806.8203125
1357,10849.0146484375
1358,10891.9765625
1359,10936.1396484375
1360,10976.4990234375
1361,11003.5263671875
1362,11011.6630859375
1363,11008.6904296875
1364,11015.53125
1365,11053.3515625
1366,11127.451171875
1367,11222.09375
1368,11311.185546875
1369,11375.4697265625
1370,11411.9169921875
1371,11429.833984375
1372,11440.69921875
1373,11452.21484375
1374,11469.6611328125
1375,11499.05859375
1376,11546.18359375
1377,11612.2060546875
1378,11691.1396484375
1379,11771.34375
1380,11838.5390625
1381,11878.7353515625
1382,11883.6904296875
1383,11859.71875
1384,11831.9951171875
1385,11834.0009765625
1386,11884.9306640625
1387,11974.4345703125
1388,12071.62109375
1389,12151.099609375
1390,12209.326171875
1391,12255.1142578125
1392,12288.99609375
1393,12299.814453125
1394,12285.0390625
1395,12269.396484375
1396,12293.9697265625
1397,12380.494140625
1398,12506.52734375
1399,12619.5322265625
1400,12678.1474609375
1401,12680.9404296875
1402,12657.2431640625
1403,12634.9013671875
1404,12621.3232421875
1405,12614.337890625
1406,12622.51953125
1407,12664.666015625
1408,12746.5244140625
1409,12843.8447265625
1410,12915.76953125
1411,12937.55859375
1412,12919.7099609375
1413,12897.0595703125
1414,12903.2099609375
1415,12953.3896484375
1416,13040.1748046875
1417,13134.4091796875
1418,13193.8447265625
1419,13189.0595703125
1420,13136.138671875
1421,13100.58203125
1422,13151.6240234375
1423,13299.1552734375
1424,13476.06640625
1425,13590.6640625
1426,13601.958984375
1427,13545.6572265625
1428,13489.8994140625
1429,13470.1943359375
1430,13467.3798828125
1431,13442.4013671875
1432,13386.052734375
1433,13334.4755859375
1434,13338.5087890625
1435,13415.7900390625
1436,13527.0341796875
1437,13598.2109375
1438,13573.9482421875
1439,13460.060546875
1440,13318.96875
1441,13221.7548828125
1442,13199.501953125
1443,13233.7783203125
1444,13284.28515625
1445,13318.474609375
1446,13318.80078125
1447,13277.572265625
1448,13199.4462890625
1449,13108.296875
1450,13038.142578125
1451,13006.2978515625
1452,12995.828125
1453,12970.3037109375
1454,12908.2470703125
1455,12822.5556640625
1456,12748.298828125
1457,12715.0302734375
1458,12728.3818359375
1459,12768.8505859375
1460,12801.9150390625
1461,12794.984375
1462,12737.2744140625
1463,12649.5693359375
1464,12569.544921875
1465,12519.361328125
1466,12485.3994140625
1467,12432.7041015625
